combination,speed,repeatability mean,repeatability std,total num matches,number possible correct matches,total correct matches,ratio correct/total matches,ratio correct/possible correct matches,size mean,size std,size normalized std,size min,size max,size unique count,size correct: avg,size correct/all ratio,total num keypoints,correct matches per sequence: avg,correct matches per sequence: std,distance correct/all ratio,response correct/all ratio,distinctiveness all: avg,distinctiveness correct: avg,distinctiveness correct/all ratio,match rank: avg,match rank: std,match rank correct: avg,match rank correct: std,ratio rank >25 / all,ratio rank >25 correct / rank >25,Matching distance mAP,Matching average_response mAP,Matching distinctiveness mAP,Verification distance AP,Verification average_response AP,Verification distinctiveness AP,Retrieval distance mAP,Retrieval average_response mAP,Retrieval distinctiveness mAP,distance-distinctiveness correlation,distance-average response correlation
AKAZE+AKAZE 3,0,0.40276291258019176,0.2203784447205295,134537,56834,38407,0.28547537108750753,0.6757750642221205,9.627800905971295,4.896251900058542,0.5085535054034841,4.800000190734863,64.58084869384766,105,9.208067022633942,0.9564039714326635,169619,333.97391304347826,180.52086286123927,0.5263735085785038,1.0042932260783315,0.4173963407618107,0.8715202941733189,2.0879921768903484,3.3604361625426464,7.500712275607179,0.10383523836800583,0.9669453646290642,0.03304667117595903,0.0004165907256489702,0.8144733214026837,0.37331930536385954,0.8154429281547083,0.7742537331786414,0.09590341282158962,0.7757563813200569,0.9727179365173022,0.7775314824028597,0.9701683037815291,0.714556749552842,-0.036682923455491734
AKAZE+BRISK 3,0,0.40276291258019176,0.2203784447205295,128111,56834,35855,0.27987448384603975,0.6308723651335468,9.583453012249166,4.90134767110042,0.511438587410584,4.800000190734863,64.58084869384766,103,9.372926224080976,0.9780322616598522,169619,311.7826086956522,189.32800075914705,0.6081630937341642,0.974173769192949,0.3446254894177641,0.7437857706236644,2.1582436397269142,3.7538462739343226,8.058599874369323,0.2325198717054804,1.5322178651804803,0.03969994770160252,0.000836703388648724,0.7438815802924219,0.35194830247310677,0.7642250957665055,0.6514331044427127,0.07707765160768176,0.6476721531476022,0.9127213169830186,0.6659331941951611,0.9388359236009036,0.6646749928204629,0.041554143758534154
AKAZE+ORB 3,0,0.4026976929902396,0.22037355828717242,131108,56823,33676,0.256856942368124,0.5926473435052707,9.630174715748735,5.034676732011948,0.5228022212077289,4.800000190734863,64.58084869384766,104,9.18422367683512,0.9536923210557824,169596,292.83478260869566,188.45974915360495,0.5975347606159453,0.971246194003898,0.21079315281944835,0.5019263131261242,2.381131959993224,3.8031012600298992,7.968915596883102,0.24100249435799975,1.3973362207966646,0.03877719132318394,0.0006235894999406105,0.6746252937992978,0.3267384644161769,0.7178204885296698,0.5904719763911895,0.07533164939334887,0.6383944239152745,0.8710161110176646,0.6592646565126604,0.9055768954942257,0.6544491943559455,0.054554902580506194
AKAZE+SIFT 3,0,0.40276291258019176,0.2203784447205295,129419,56834,41483,0.3205325338628795,0.7298975965091319,9.676416482997556,5.040609425944606,0.5209169566855113,4.800000190734863,64.58084869384766,105,9.181470155100973,0.948850245463674,169619,360.7217391304348,183.08437341367988,0.5438170411611815,1.0106359438568273,0.4983417782733239,0.9294334637265834,1.8650522678369945,4.1226867770574644,8.75367358085822,0.11944652026131186,1.009168280265587,0.04812276404546473,0.0003374876455415471,0.8273245609656009,0.4117905257813995,0.8150510825111297,0.7803268102032376,0.1000971868716117,0.7616268966548889,0.9802613351424361,0.8309688047931458,0.9710198328614561,0.6070445238056915,-0.00948112428561261
AKAZE+BRIEF 3,0,0.40276291258019176,0.2203784447205295,129872,56834,42989,0.3310105334483183,0.756395819403878,9.629157249212588,5.044369075504469,0.5238640251634655,4.800000190734863,64.58084869384766,103,8.957626386864431,0.9302606817016027,169619,373.81739130434784,217.8212503151308,0.5059584529168717,1.0107827017946038,0.24203189765425814,0.4907665673938546,2.027693755039318,3.808434458543797,8.154644176203707,0.2253599758077648,1.287858840837547,0.04144080325243316,0.000581544115936635,0.7303425931460537,0.4189376513570693,0.735820110580841,0.7244259899540283,0.10596611380041428,0.6174862118500285,0.9137920162434738,0.8011955979103296,0.9264460219025428,0.5334100082105165,0.014376311637708762
BRISK+BRISK 3,0,0.3637532654949121,0.19430470300558247,137173,52261,33577,0.244778491394079,0.6424867492011251,21.47124335667689,11.420878773655692,0.5319151100816039,8.399999618530273,72.0,130400,21.67745950002818,1.0096042944474926,172243,291.97391304347826,170.30624389838164,0.5709777699284979,1.0151040404486673,0.35824657910128327,0.8044565823712978,2.2455387693844866,3.7736507913364874,7.921024692271539,0.17467313935134168,1.096262362619131,0.03850612000903968,0.00029782291449504127,0.7801458066300918,0.3545635988300349,0.7711912633260698,0.7387950569220724,0.10914503258617636,0.7148674903603195,0.961225498498505,0.7457589748499036,0.9565228949393538,0.6577324839795444,0.027436412564980476
BRISK+ORB 3,0,0.36536115942028985,0.19444009468909176,137979,52471,30287,0.2195044173388704,0.5772140801585638,21.62375211521824,11.496648319831293,0.531667596750716,8.399999618530273,72.0,131023,21.839695985647776,1.009986419992188,172162,263.3652173913043,166.37769135756898,0.6000993840643728,1.0058531610011643,0.21776745590647256,0.5651328930128326,2.595120977376655,3.4422846954971407,7.341415650628997,0.19014758807409118,1.2322894658218786,0.03162800136252618,0.0005612969260738931,0.7063443510116851,0.3195840776580957,0.7449130797827805,0.6429027969454186,0.09626010578801045,0.6977823698248484,0.9025760723036309,0.6836402980382693,0.9234725405665586,0.7758691412732874,0.04582025889073186
BRISK+SIFT 3,0,0.3637532654949121,0.19430470300558247,131550,52261,33149,0.2519878373242113,0.6342970857809839,21.145753281142767,11.845614037658112,0.560188794419621,8.399999618530273,72.0,124582,21.115071118163854,0.9985490153710308,172243,288.25217391304346,164.75994888365213,0.5866294763112012,1.024199096523413,0.41633072831501017,0.8797702520547245,2.113152338323344,5.358175598631699,9.959089819240411,0.20845274367250896,1.3794166070877456,0.06755606233371342,0.0006938369181574104,0.7366052905097112,0.35797712083855,0.7333989208585887,0.7098214298493769,0.11422632367398793,0.6741822519633577,0.961141682402758,0.7757585052692298,0.9613752112107178,0.5852340084023198,0.03369627120790912
BRISK+BRIEF 3,0,0.3651623163090944,0.1946266071646219,133257,52451,38157,0.28634143046894345,0.7274789803816896,21.637527965562345,11.819562393386514,0.5462528996934485,8.399999618530273,72.0,126356,21.56068851730529,0.9964487880325632,172192,331.8,200.95771564749853,0.49938177927650623,1.0073803022383772,0.205693030251596,0.46427792340989155,2.2571397914747244,4.606384655215111,8.852637009175252,0.28773226406688157,1.3663712326775002,0.05078907674643734,0.00044552768823544826,0.7168723192356244,0.38781610113184134,0.7352028312685208,0.7188176023822985,0.12541772414710886,0.638064171633446,0.9062507209595965,0.810610027919076,0.9225527504682469,0.5537289968183297,0.022223848543458855
FAST+BRISK 3,0,0.38035478260869565,0.19845556560753067,136306,54676,29213,0.2143192522706264,0.5342929255980686,7.0,0.0,0.0,7.0,7.0,1,7.0,1.0,172500,254.02608695652174,183.26300705339662,0.5961901192264394,1.0040444684513992,0.34349696877994346,0.80248845157345,2.3362315377157024,3.9634425483837834,8.248813506211487,0.1796460479923322,1.2288705408990552,0.042411926107434744,0.0003423133536439256,0.6720427790016926,0.30933764421886,0.7067668705204814,0.6256737108388194,0.08531624075676533,0.6838688066299339,0.88463330197962,0.6546197032732771,0.8865766246569471,0.6967945406168067,0.03165939901505974
FAST+ORB 3,0,0.3821426086956522,0.19637401894072912,136369,54933,38035,0.2789123627803973,0.6923889101268819,7.0,0.0,0.0,7.0,7.0,1,7.0,1.0,172500,330.7391304347826,205.78621608280434,0.5418062021751839,1.0192388135075883,0.2439513881199715,0.5980144644743396,2.4513673362671966,4.221655948199371,8.465855518505759,0.17699487314315762,1.3490812644260946,0.04493689914863349,0.0006572893387669252,0.6821366915710948,0.39778560260756163,0.7767751363420375,0.6341253658710075,0.12070373867033221,0.7639165269638166,0.8912546314023071,0.7936725830090261,0.9265126602861247,0.5867823368342269,0.013546870955788066
FAST+SIFT 3,0,0.3802504347826087,0.1985072463353342,130824,54661,44272,0.33840885464440773,0.8099376154845319,7.0,0.0,0.0,7.0,7.0,1,7.0,1.0,172500,384.97391304347826,207.21761134108627,0.543302570982965,1.0339424556307106,0.47431093850804507,0.9187095524749488,1.9369351998601778,4.970502354308078,9.784372312225878,0.13249909649439826,1.2312999525269164,0.0640020179783526,0.0006098662811709432,0.817207160749784,0.45975382777851553,0.8163652439723774,0.8083964512992081,0.14901694963418566,0.7329615950102478,0.9605807761949146,0.8949187020967267,0.968976463686296,0.5289797136102553,0.016027144718246934
FAST+BRIEF 3,0,0.3821426086956522,0.19653223347124182,135202,54933,39449,0.2917782281327199,0.7181293575810532,7.0,0.0,0.0,7.0,7.0,1,7.0,1.0,172500,343.03478260869565,200.78852948507497,0.5094834472544942,1.022777718018441,0.2586517833990546,0.5978773698274921,2.3115145852486605,4.0306874158666295,8.364811535528322,0.14608735329159167,1.1486302851339092,0.043949054008076804,0.0004816345154503283,0.7366631274996379,0.41358020356963,0.7890138877889015,0.7142384241391816,0.12707799317828178,0.7442815734514545,0.9220837164132251,0.8305062279554476,0.93701400854578,0.6172474500581575,0.010015142616236856
GFTT+BRISK 3,0,0.3883895652173913,0.21276982761493515,137438,55831,30193,0.21968451228917765,0.5407927495477423,3.0,0.0,0.0,3.0,3.0,1,3.0,1.0,172500,262.54782608695655,199.1382409709728,0.5832274424016259,0.9993492763507446,0.356520933457237,0.8219099825450561,2.305362477807044,3.7795806108936394,7.985363022853082,0.16460769052429372,1.1642492978678038,0.039137647521064044,0.0004636836352797006,0.6938550726839806,0.3065565691733421,0.7191327850453105,0.6659455041562193,0.08124757966283694,0.7115454138854354,0.8934303390104207,0.6358701152708924,0.889762765597768,0.7335007889720713,0.00506964382655009
